time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000023,0.300030
0.010000,0.000041,0.300057
0.015000,0.000088,0.300105
0.020000,0.000147,0.300143
0.025000,0.000229,0.300210
0.030000,0.000296,0.300260
0.035000,0.000382,0.300344
0.040000,0.000421,0.300407
0.045000,0.000477,0.300509
0.050000,0.000509,0.300583
0.055000,0.000545,0.300704
0.060000,0.000710,0.300790
0.065000,0.000809,0.300928
0.070000,0.000808,0.301027
0.075000,0.000906,0.301183
0.080000,0.000761,0.301293
0.085000,0.000842,0.301468
0.090000,0.000852,0.301590
0.095000,0.001036,0.301782
0.100000,0.001197,0.301916
0.105000,0.012037,0.299776
0.110000,0.012056,0.299857
0.115000,0.012122,0.299983
0.120000,0.012196,0.300070
0.125000,0.012350,0.300205
0.130000,0.012490,0.300298
0.135000,0.012746,0.300441
0.140000,0.012946,0.300540
0.145000,0.013282,0.300693
0.150000,0.013476,0.300798
0.155000,0.013849,0.300960
0.160000,0.013912,0.301071
0.165000,0.014293,0.301241
0.170000,0.014549,0.301358
0.175000,0.014947,0.301538
0.180000,0.015296,0.301661
0.185000,0.015769,0.301850
0.190000,0.016279,0.301978
0.195000,0.016787,0.302176
0.200000,0.017225,0.302311
0.205000,0.007598,0.299956
0.210000,0.007942,0.300055
0.215000,0.008483,0.300206
0.220000,0.008861,0.300308
0.225000,0.009461,0.300465
0.230000,0.009870,0.300572
0.235000,0.010486,0.300735
0.240000,0.010924,0.300845
0.245000,0.011569,0.301014
0.250000,0.011945,0.301129
0.255000,0.012605,0.301304
0.260000,0.012960,0.301423
0.265000,0.013580,0.301604
0.270000,0.014014,0.301726
0.275000,0.014649,0.301913
0.280000,0.015091,0.302040
0.285000,0.015741,0.302233
0.290000,0.016161,0.302364
0.295000,0.016809,0.302563
0.300000,0.017198,0.302697
0.305000,0.045187,0.300239
0.310000,0.045693,0.300346
0.314999,0.046422,0.300509
0.319999,0.046925,0.300619
0.324999,0.047686,0.300786
0.329999,0.048181,0.300899
0.334999,0.048915,0.301071
0.339999,0.049405,0.301187
0.344999,0.050131,0.301364
0.349999,0.050621,0.301483
0.354999,0.051354,0.301664
0.359999,0.051836,0.301786
0.364999,0.052546,0.301972
0.369999,0.052983,0.302097
0.374999,0.053620,0.302287
0.379999,0.054046,0.302416
0.384999,0.054687,0.302610
0.389999,0.055140,0.302742
0.394998,0.055789,0.302941
0.399998,0.056175,0.303075
0.404998,0.032842,0.300557
0.409998,0.033291,0.300669
0.414998,0.033947,0.300839
0.419998,0.034376,0.300953
0.424998,0.034993,0.301126
0.429998,0.035400,0.301243
0.434998,0.036028,0.301420
0.439998,0.036451,0.301539
0.444998,0.037100,0.301719
0.449998,0.037517,0.301841
0.454998,0.038175,0.302025
0.459998,0.038638,0.302150
0.464998,0.039346,0.302338
0.469997,0.039868,0.302464
0.474997,0.040619,0.302656
0.479997,0.041166,0.302785
0.484997,0.041922,0.302981
0.489997,0.042389,0.303112
0.494997,0.043133,0.303311
0.499997,0.043650,0.303445
0.504997,0.023476,0.300890
0.509997,0.023618,0.301004
0.514997,0.023877,0.301178
0.519997,0.024030,0.301295
0.524997,0.024279,0.301471
0.529997,0.024451,0.301590
0.534997,0.024721,0.301770
0.539997,0.024905,0.301891
0.544997,0.025178,0.302074
0.549996,0.025368,0.302197
0.554996,0.025673,0.302383
0.559996,0.025938,0.302509
0.564996,0.026308,0.302698
0.569996,0.026446,0.302825
0.574996,0.026785,0.303018
0.579996,0.026996,0.303147
0.584996,0.027327,0.303343
0.589996,0.027454,0.303475
0.594996,0.027795,0.303674
0.599996,0.027884,0.303808
0.604996,0.082688,0.301226
0.609996,0.083210,0.301343
0.614996,0.083958,0.301519
0.619996,0.084451,0.301638
0.624996,0.085189,0.301816
0.629995,0.085709,0.301937
0.634995,0.086456,0.302118
0.639995,0.086964,0.302240
0.644995,0.087735,0.302425
0.649995,0.088253,0.302549
0.654995,0.089015,0.302736
0.659995,0.089521,0.302862
0.664995,0.090317,0.303052
0.669995,0.090806,0.303180
0.674995,0.091572,0.303373
0.679995,0.091983,0.303503
0.684995,0.092777,0.303698
0.689995,0.093404,0.303830
0.694995,0.094217,0.304028
0.699995,0.094608,0.304162
0.704994,0.059747,0.301563
0.709994,0.060083,0.301681
0.714994,0.060684,0.301859
0.719994,0.061117,0.301978
0.724994,0.061730,0.302158
0.729994,0.062135,0.302280
0.734994,0.062704,0.302462
0.739994,0.063076,0.302585
0.744994,0.063672,0.302771
0.749994,0.064065,0.302895
0.754994,0.064665,0.303083
0.759994,0.065061,0.303209
0.764994,0.065638,0.303400
0.769994,0.066057,0.303528
0.774994,0.066663,0.303721
0.779994,0.067073,0.303850
0.784993,0.067646,0.304046
0.789993,0.067978,0.304177
0.794993,0.068552,0.304375
0.799993,0.068862,0.304508
0.804993,0.058429,0.301897
0.809993,0.058553,0.302015
0.814993,0.059107,0.302194
0.819993,0.059225,0.302314
0.824993,0.059806,0.302496
0.829993,0.060225,0.302617
0.834993,0.060757,0.302801
0.839993,0.061103,0.302924
0.844993,0.061649,0.303110
0.849993,0.062016,0.303235
0.854993,0.062559,0.303423
0.859993,0.062877,0.303549
0.864992,0.063411,0.303740
0.869992,0.063720,0.303868
0.874992,0.064248,0.304061
