MsgID.STATE,1529058544.8144209,False,False
MsgID.GLOBAL_HOME,1529058544.8148260,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058544.8149641,-122.3974498,37.7924794,0.2180000
MsgID.LOCAL_VELOCITY,1529058544.8149641,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058544.8151340,-0.0633292,0.0157736,-0.2183159
MsgID.LOCAL_VELOCITY,1529058544.8151340,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1529058544.8152959,-122.3974500,37.7924786,0.1930000
MsgID.LOCAL_VELOCITY,1529058544.8152959,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058544.8154550,-0.1570345,-0.0005891,-0.1930372
MsgID.LOCAL_VELOCITY,1529058544.8154550,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1529058544.8156228,-122.3974502,37.7924785,0.1630000
MsgID.LOCAL_VELOCITY,1529058544.8156228,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058544.8157761,-0.1591974,-0.0248621,-0.1631616
MsgID.LOCAL_VELOCITY,1529058544.8157761,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1529058544.8159330,-122.3974517,37.7924787,0.1340000
MsgID.LOCAL_VELOCITY,1529058544.8159330,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058544.8160708,-0.1341544,-0.1524562,-0.1341717
MsgID.LOCAL_VELOCITY,1529058544.8160708,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1529058544.9170780,True,True
MsgID.GLOBAL_HOME,1529058545.0530119,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058545.0533500,-122.3974504,37.7924794,0.1110000
MsgID.LOCAL_VELOCITY,1529058545.0533500,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058545.0536320,-0.0567690,-0.0384176,-0.1110576
MsgID.LOCAL_VELOCITY,1529058545.0536320,0.0000064,-0.0000078,0.0000176
MsgID.GLOBAL_POSITION,1529058545.1727931,-122.3974501,37.7924812,0.0960000
MsgID.LOCAL_VELOCITY,1529058545.1727931,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058545.1730349,0.1375397,-0.0129506,-0.0962599
MsgID.LOCAL_VELOCITY,1529058545.1730349,0.0000137,0.0000104,0.0000135
MsgID.GLOBAL_POSITION,1529058545.4230669,-122.3974491,37.7924814,0.0900000
MsgID.LOCAL_VELOCITY,1529058545.4230669,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058545.4233060,0.1604037,0.0758703,-0.0902127
MsgID.LOCAL_VELOCITY,1529058545.4233060,0.0000267,-0.0000120,0.0000119
MsgID.GLOBAL_POSITION,1529058545.6731782,-122.3974490,37.7924813,0.0900000
MsgID.LOCAL_VELOCITY,1529058545.6731782,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058545.6733708,0.1518428,0.0824295,-0.0900162
MsgID.LOCAL_VELOCITY,1529058545.6733708,0.0000286,0.0000001,0.0000086
MsgID.STATE,1529058545.9168379,True,True
MsgID.GLOBAL_HOME,1529058545.9172211,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058545.9231548,-122.3974500,37.7924796,0.0960000
MsgID.LOCAL_VELOCITY,1529058545.9231548,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058545.9233401,-0.0362783,-0.0004481,-0.0966254
MsgID.LOCAL_VELOCITY,1529058545.9233401,-0.0000151,0.0000100,0.0000123
MsgID.GLOBAL_POSITION,1529058546.1732879,-122.3974500,37.7924803,0.3770000
MsgID.LOCAL_VELOCITY,1529058546.1732879,0.0000000,0.0000000,-2.2000000
MsgID.LOCAL_POSITION,1529058546.1735041,0.0398601,-0.0010856,-0.3829880
MsgID.LOCAL_VELOCITY,1529058546.1735041,-0.0012096,-0.0015477,-2.2255585
MsgID.GLOBAL_POSITION,1529058546.4232478,-122.3974500,37.7924799,1.1630000
MsgID.LOCAL_VELOCITY,1529058546.4232478,0.0000000,0.0000000,-3.9000000
MsgID.LOCAL_POSITION,1529058546.4234481,-0.0018273,-0.0011812,-1.1689063
MsgID.LOCAL_VELOCITY,1529058546.4234481,-0.0098736,-0.0018964,-3.9102657
MsgID.GLOBAL_POSITION,1529058546.6730671,-122.3974500,37.7924801,2.2220000
MsgID.LOCAL_VELOCITY,1529058546.6730671,-0.0100000,0.0000000,-4.4100000
MsgID.LOCAL_POSITION,1529058546.6732538,0.0238223,-0.0027632,-2.2352793
MsgID.LOCAL_VELOCITY,1529058546.6732538,-0.0124147,-0.0045379,-4.4127736
MsgID.STATE,1529058546.9167979,True,True
MsgID.GLOBAL_HOME,1529058546.9170010,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058546.9231210,-122.3974504,37.7924812,3.3470000
MsgID.LOCAL_VELOCITY,1529058546.9231210,0.0000000,0.0000000,-4.5500000
MsgID.LOCAL_POSITION,1529058546.9234078,0.1399898,-0.0406237,-3.3542354
MsgID.LOCAL_VELOCITY,1529058546.9234078,-0.0098245,-0.0026241,-4.5514712
MsgID.GLOBAL_POSITION,1529058547.1735749,-122.3974490,37.7924790,4.5180000
MsgID.LOCAL_VELOCITY,1529058547.1735749,-0.0100000,0.0000000,-4.6000000
MsgID.LOCAL_POSITION,1529058547.1737831,-0.1027517,0.0856925,-4.5302119
MsgID.LOCAL_VELOCITY,1529058547.1737831,-0.0181413,0.0021152,-4.6055689
MsgID.GLOBAL_POSITION,1529058547.4233201,-122.3974493,37.7924796,5.4100000
MsgID.LOCAL_VELOCITY,1529058547.4233201,-0.0100000,0.0000000,-2.2300000
MsgID.LOCAL_POSITION,1529058547.4235280,-0.0366475,0.0606734,-5.4106827
MsgID.LOCAL_VELOCITY,1529058547.4235280,-0.0175045,0.0018459,-2.2343440
MsgID.GLOBAL_POSITION,1529058547.6731782,-122.3974512,37.7924810,5.6520000
MsgID.LOCAL_VELOCITY,1529058547.6731782,-0.0100000,0.0000000,0.2000000
MsgID.LOCAL_POSITION,1529058547.6733818,0.1138718,-0.1153300,-5.6520147
MsgID.LOCAL_VELOCITY,1529058547.6733818,-0.0164707,0.0017369,0.2149453
MsgID.STATE,1529058547.9153190,True,True
MsgID.GLOBAL_HOME,1529058547.9155011,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058547.9236491,-122.3974491,37.7924799,5.3610000
MsgID.LOCAL_VELOCITY,1529058547.9236491,-0.0300000,0.2800000,1.7100000
MsgID.LOCAL_POSITION,1529058547.9238191,-0.0072982,0.0777841,-5.3609676
MsgID.LOCAL_VELOCITY,1529058547.9238191,-0.0329041,0.2878603,1.7137409
MsgID.GLOBAL_POSITION,1529058548.1729012,-122.3974465,37.7924799,4.9300000
MsgID.LOCAL_VELOCITY,1529058548.1729012,0.4800000,1.0700000,1.2300000
MsgID.LOCAL_POSITION,1529058548.1730850,-0.0005171,0.3086307,-4.9285641
MsgID.LOCAL_VELOCITY,1529058548.1730850,0.4959711,1.0848711,1.2174773
MsgID.GLOBAL_POSITION,1529058548.4243882,-122.3974448,37.7924835,4.8560000
MsgID.LOCAL_VELOCITY,1529058548.4243882,1.8800000,1.3200000,-0.5500000
MsgID.LOCAL_POSITION,1529058548.4246020,0.3980325,0.4593562,-4.8570504
MsgID.LOCAL_VELOCITY,1529058548.4246020,1.8835136,1.3286965,-0.5575872
MsgID.GLOBAL_POSITION,1529058548.6742480,-122.3974421,37.7924879,4.9970000
MsgID.LOCAL_VELOCITY,1529058548.6742480,1.6500000,1.4900000,-0.3900000
MsgID.LOCAL_POSITION,1529058548.6744661,0.8888251,0.6986650,-4.9983630
MsgID.LOCAL_VELOCITY,1529058548.6744661,1.6541438,1.4960541,-0.3960887
MsgID.STATE,1529058548.9159491,True,True
MsgID.GLOBAL_HOME,1529058548.9161711,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058548.9242702,-122.3974352,37.7924905,5.0100000
